Date,Temperature,Precipitation
2023-10-10,27.7,0.0
2023-10-11,27.6,0.0
2023-10-12,27.9,0.0
2023-10-13,28.7,0.0
2023-10-14,28.4,0.0
2023-10-15,28.7,0.7
2023-10-16,28.6,0.0
2023-10-17,28.3,1.0
2023-10-18,28.7,0.0
2023-10-19,28.8,0.0
2023-10-20,28.6,0.0
2023-10-21,29.1,0.1
2023-10-22,28.7,0.0
2023-10-23,28.6,0.0
2023-10-24,28.6,0.0
2023-10-25,28.0,0.0
2023-10-26,27.8,0.0
2023-10-27,27.5,0.0
2023-10-28,27.2,0.0
2023-10-29,27.3,0.0
2023-10-30,27.4,0.0
2023-10-31,27.9,0.0
2023-11-01,27.5,0.0
2023-11-02,27.5,0.0
2023-11-03,27.9,0.0
2023-11-04,28.5,0.0
2023-11-05,28.8,0.0
2023-11-06,28.5,0.0
2023-11-07,27.6,0.0
2023-11-08,27.9,0.0
2023-11-09,28.4,0.0
2023-11-10,28.2,1.1
2023-11-11,29.1,0.0
2023-11-12,29.4,0.0
2023-11-13,28.2,0.0
2023-11-14,27.3,0.0
2023-11-15,27.1,0.0
2023-11-16,27.0,0.0
2023-11-17,27.1,0.0
2023-11-18,26.7,0.0
2023-11-19,26.9,0.0
2023-11-20,28.0,0.0
2023-11-21,28.6,0.0
2023-11-22,27.7,0.0
2023-11-23,27.1,0.0
2023-11-24,27.6,0.0
2023-11-25,27.9,0.0
2023-11-26,27.0,2.4
2023-11-27,26.1,0.9
2023-11-28,25.8,0.0
2023-11-29,24.6,0.0
2023-11-30,24.7,0.0
2023-12-01,25.0,0.3
2023-12-02,25.7,0.0
2023-12-03,27.4,0.0
2023-12-04,27.6,0.3
2023-12-05,27.7,0.0
2023-12-06,26.6,0.0
2023-12-07,26.0,0.0
2023-12-08,26.0,0.0
2023-12-09,26.2,0.0
2023-12-10,26.4,0.0
2023-12-11,26.4,0.0
2023-12-12,25.3,0.0
2023-12-13,24.9,0.0
2023-12-14,26.0,0.0
2023-12-15,25.9,0.0
2023-12-16,25.1,0.0
2023-12-17,25.7,0.0
2023-12-18,27.0,0.0
2023-12-19,26.9,0.0
2023-12-20,25.7,0.0
2023-12-21,26.2,0.0
2023-12-22,25.7,0.0
2023-12-23,25.9,0.0
2023-12-24,25.4,0.0
2023-12-25,25.0,0.0
2023-12-26,25.4,0.0
2023-12-27,26.0,0.0
2023-12-28,25.7,0.0
2023-12-29,25.7,0.0
2023-12-30,25.1,0.0
2023-12-31,25.3,0.0
2024-01-01,25.2,0.0
2024-01-02,24.7,0.0
2024-01-03,24.2,0.0
2024-01-04,23.4,0.0
2024-01-05,23.1,0.0
2024-01-06,25.0,0.0
2024-01-07,25.3,0.0
2024-01-08,26.6,0.0
2024-01-09,26.2,0.7
2024-01-10,25.7,0.7
2024-01-11,27.0,0.8
2024-01-12,27.5,0.0
2024-01-13,26.6,0.0
2024-01-14,26.3,0.0
2024-01-15,24.6,0.0
2024-01-16,22.4,0.0
2024-01-17,22.0,0.0
2024-01-18,22.2,0.0
2024-01-19,22.1,0.0
2024-01-20,22.8,0.0
2024-01-21,23.8,0.0
2024-01-22,23.2,0.0
2024-01-23,23.7,0.0
2024-01-24,23.8,0.0
2024-01-25,23.7,0.0
2024-01-26,23.8,0.0
2024-01-27,24.8,0.0
2024-01-28,24.8,0.0
2024-01-29,25.2,0.0
2024-01-30,24.6,0.0
2024-01-31,23.7,0.0
2024-02-01,22.9,0.0
2024-02-02,23.7,0.0
2024-02-03,26.4,0.0
2024-02-04,26.2,0.0
2024-02-05,26.3,0.0
2024-02-06,25.8,0.0
2024-02-07,26.1,0.0
2024-02-08,25.8,0.0
2024-02-09,24.6,0.0
2024-02-10,24.7,0.0
2024-02-11,24.1,0.0
2024-02-12,24.3,0.0
2024-02-13,24.9,0.0
2024-02-14,25.6,0.0
2024-02-15,25.9,0.0
2024-02-16,26.2,0.0
2024-02-17,26.3,0.0
2024-02-18,26.8,0.0
2024-02-19,25.8,0.0
2024-02-20,25.4,0.0
2024-02-21,24.0,0.1
2024-02-22,24.2,0.2
2024-02-23,24.4,0.0
2024-02-24,24.8,0.0
2024-02-25,25.6,0.0
2024-02-26,26.3,0.0
2024-02-27,27.4,0.0
2024-02-28,27.9,0.0
2024-02-29,28.2,0.0
2024-03-01,27.4,0.0
2024-03-02,25.9,0.0
2024-03-03,24.5,0.2
2024-03-04,22.8,0.0
2024-03-05,23.8,0.0
2024-03-06,24.4,0.0
2024-03-07,26.3,0.0
2024-03-08,27.8,0.0
2024-03-09,27.8,0.0
2024-03-10,26.8,0.0
2024-03-11,27.4,0.0
2024-03-12,28.0,0.0
2024-03-13,26.3,0.0
2024-03-14,25.5,0.0
2024-03-15,24.4,0.0
2024-03-16,24.5,0.0
2024-03-17,25.2,0.0
2024-03-18,25.9,0.0
2024-03-19,26.6,0.0
2024-03-20,29.0,0.0
2024-03-21,29.6,0.0
2024-03-22,27.2,0.0
2024-03-23,26.8,0.0
2024-03-24,26.7,0.0
2024-03-25,27.3,0.0
2024-03-26,27.5,0.0
2024-03-27,27.4,0.0
2024-03-28,27.6,0.0
2024-03-29,28.5,0.0
2024-03-30,28.4,0.0
2024-03-31,28.9,0.0
2024-04-01,28.3,0.0
2024-04-02,27.3,0.0
2024-04-03,27.1,0.0
2024-04-04,27.6,0.0
2024-04-05,29.2,0.0
2024-04-06,31.0,0.0
2024-04-07,30.0,0.0
2024-04-08,27.7,0.0
2024-04-09,27.7,0.0
2024-04-10,27.6,0.0
2024-04-11,27.8,0.0
2024-04-12,27.7,0.0
2024-04-13,26.7,0.0
2024-04-14,27.3,0.0
2024-04-15,31.0,0.0
2024-04-16,34.0,0.0
2024-04-17,30.8,0.0
2024-04-18,30.5,0.0
2024-04-19,30.9,0.0
2024-04-20,30.5,0.0
2024-04-21,29.6,0.0
2024-04-22,29.7,0.0
2024-04-23,29.2,0.0
2024-04-24,29.0,0.0
2024-04-25,29.4,0.0
2024-04-26,30.1,0.0
2024-04-27,31.0,0.0
2024-04-28,33.0,0.0
2024-04-29,32.6,0.0
2024-04-30,31.8,0.0
2024-05-01,29.5,0.0
2024-05-02,28.7,0.0
2024-05-03,28.0,0.0
2024-05-04,28.8,0.0
2024-05-05,29.8,0.0
2024-05-06,29.2,0.0
2024-05-07,29.3,0.0
2024-05-08,29.6,0.0
2024-05-09,29.6,0.0
2024-05-10,29.5,0.0
2024-05-11,29.7,0.0
2024-05-12,30.3,0.0
2024-05-13,30.4,1.8
2024-05-14,31.3,0.0
2024-05-15,31.3,0.0
2024-05-16,32.3,0.1
2024-05-17,31.5,0.0
2024-05-18,31.1,0.0
2024-05-19,30.8,5.6
2024-05-20,31.5,0.0
2024-05-21,31.7,0.1
2024-05-22,31.4,0.3
2024-05-23,31.0,0.0
2024-05-24,30.9,0.2
2024-05-25,30.8,0.7
2024-05-26,31.1,0.5
2024-05-27,30.8,0.5
2024-05-28,31.1,0.6
2024-05-29,31.4,0.4
2024-05-30,31.6,0.2
2024-05-31,30.7,0.6
2024-06-01,30.9,0.8
2024-06-02,31.2,0.3
2024-06-03,31.5,0.7
2024-06-04,30.0,4.8
2024-06-05,29.5,6.7
2024-06-06,29.8,1.2
2024-06-07,30.4,1.1
2024-06-08,29.9,6.3
2024-06-09,28.7,23.0
2024-06-10,27.1,33.2
2024-06-11,27.7,10.8
2024-06-12,27.7,14.3
2024-06-13,27.5,13.6
2024-06-14,27.0,8.6
2024-06-15,27.7,2.2
2024-06-16,28.5,1.4
2024-06-17,28.3,7.4
2024-06-18,27.3,30.3
2024-06-19,27.4,23.3
2024-06-20,27.2,48.6
2024-06-21,27.7,22.9
2024-06-22,27.5,5.3
2024-06-23,27.8,4.2
2024-06-24,27.7,11.3
2024-06-25,28.1,6.8
2024-06-26,27.9,23.0
2024-06-27,27.1,98.7
2024-06-28,27.1,45.3
2024-06-29,27.5,21.3
2024-06-30,27.7,21.3
2024-07-01,28.2,16.3
2024-07-02,28.6,8.1
2024-07-03,28.6,8.9
2024-07-04,27.8,8.7
2024-07-05,27.4,12.2
2024-07-06,27.6,17.6
2024-07-07,27.3,11.8
2024-07-08,26.8,20.7
2024-07-09,26.1,80.2
2024-07-10,26.6,36.0
2024-07-11,26.4,39.1
2024-07-12,26.0,83.3
2024-07-13,25.9,76.7
2024-07-14,25.6,50.5
2024-07-15,26.4,10.2
2024-07-16,26.6,17.6
2024-07-17,26.5,45.3
2024-07-18,26.4,57.6
2024-07-19,26.2,48.3
2024-07-20,26.3,87.0
2024-07-21,26.4,48.9
2024-07-22,26.3,54.7
2024-07-23,26.2,42.1
2024-07-24,26.2,54.4
2024-07-25,26.2,74.2
2024-07-26,26.7,22.9
2024-07-27,27.2,8.2
2024-07-28,27.0,19.0
2024-07-29,26.4,34.2
2024-07-30,26.6,17.4
2024-07-31,26.8,22.1
2024-08-01,26.9,15.8
2024-08-02,26.4,28.2
2024-08-03,26.3,24.5
2024-08-04,26.2,39.4
2024-08-05,27.1,5.8
2024-08-06,27.0,5.2
2024-08-07,26.9,5.6
2024-08-08,26.8,4.2
2024-08-09,26.1,15.5
2024-08-10,26.7,4.7
2024-08-11,27.2,2.4
2024-08-12,27.1,2.9
2024-08-13,27.0,3.6
2024-08-14,27.1,1.9
2024-08-15,27.3,1.2
2024-08-16,27.5,0.9
2024-08-17,27.5,0.5
2024-08-18,27.6,2.9
2024-08-19,27.1,16.7
2024-08-20,26.3,28.8
2024-08-21,27.6,0.2
2024-08-22,27.9,4.7
2024-08-23,26.9,16.0
2024-08-24,25.8,61.7
2024-08-25,26.1,28.0
2024-08-26,26.1,22.6
2024-08-27,26.0,17.9
2024-08-28,26.8,14.4
2024-08-29,27.3,5.1
2024-08-30,26.9,6.5
2024-08-31,27.0,2.1
2024-09-01,26.7,2.3
2024-09-02,26.1,29.6
2024-09-03,26.0,13.0
2024-09-04,26.3,17.1
2024-09-05,26.3,27.9
2024-09-06,26.5,14.7
2024-09-07,26.4,10.0
2024-09-08,26.5,4.2
2024-09-09,26.7,2.0
2024-09-10,26.6,3.9
2024-09-11,26.3,4.6
2024-09-12,26.3,8.2
2024-09-13,26.3,4.5
2024-09-14,25.2,9.1
2024-09-15,25.3,3.9
2024-09-16,26.1,2.4
2024-09-17,26.0,0.2
2024-09-18,26.2,0.8
2024-09-19,27.1,1.0
2024-09-20,26.3,5.2
2024-09-21,27.0,1.9
2024-09-22,27.3,2.2
2024-09-23,27.3,5.7
2024-09-24,26.4,23.1
2024-09-25,25.9,36.4
2024-09-26,25.6,48.0
2024-09-27,26.0,61.7
2024-09-28,26.6,5.8
2024-09-29,26.6,4.6
2024-09-30,27.1,1.6
2024-10-01,27.9,0.6
2024-10-02,27.9,1.3
2024-10-03,27.5,1.4
2024-10-04,27.2,1.4
2024-10-05,26.6,1.1
2024-10-06,26.9,21.4
2024-10-07,28.1,0.6
2024-10-08,28.4,0.0
2024-10-09,26.8,6.4
2024-10-10,26.7,6.4
2024-10-11,27.4,22.0
2024-10-12,27.5,0.7
2024-10-13,27.4,2.0
2024-10-14,26.8,5.2
2024-10-15,26.7,0.0
2024-10-16,27.2,8.6
2024-10-17,27.1,2.9
2024-10-18,27.7,12.4
2024-10-19,26.3,7.9
2024-10-20,26.4,6.8
2024-10-21,26.9,13.3
2024-10-22,26.6,7.3
2024-10-23,27.3,0.0
2024-10-24,28.1,0.0
2024-10-25,27.0,0.0
2024-10-26,26.9,0.0
2024-10-27,26.9,0.0
2024-10-28,27.1,0.0
2024-10-29,27.6,0.0
2024-10-30,27.7,0.0
2024-10-31,28.3,0.0
2024-11-01,27.9,0.3
2024-11-02,28.0,0.0
2024-11-03,28.0,0.0
2024-11-04,27.9,0.0
2024-11-05,28.2,0.0
2024-11-06,27.9,0.0
2024-11-07,27.4,0.0
2024-11-08,27.7,0.0
2024-11-09,27.7,0.0
2024-11-10,27.6,0.0
2024-11-11,27.9,0.0
2024-11-12,27.8,0.0
2024-11-13,28.5,0.0
2024-11-14,29.1,0.0
2024-11-15,29.0,0.3
2024-11-16,29.2,0.0
2024-11-17,29.7,0.0
2024-11-18,28.9,0.0
2024-11-19,27.6,0.0
2024-11-20,26.9,0.0
2024-11-21,26.7,0.0
2024-11-22,26.5,0.0
2024-11-23,26.5,0.0
2024-11-24,26.9,0.0
2024-11-25,26.7,0.0
2024-11-26,26.3,0.0
2024-11-27,26.2,0.0
2024-11-28,26.4,0.0
2024-11-29,25.3,0.0
2024-11-30,25.1,0.0
2024-12-01,25.8,0.0
2024-12-02,27.6,0.0
2024-12-03,28.9,0.2
2024-12-04,29.4,0.2
2024-12-05,29.2,0.0
2024-12-06,28.5,0.0
2024-12-07,27.6,0.0
2024-12-08,25.4,0.0
2024-12-09,24.9,0.0
2024-12-10,25.1,0.0
2024-12-11,26.3,0.0
2024-12-12,25.3,0.0
2024-12-13,25.9,0.0
2024-12-14,25.9,0.0
2024-12-15,25.5,0.0
2024-12-16,24.9,0.0
2024-12-17,24.0,0.0
2024-12-18,24.3,0.0
2024-12-19,23.6,0.0
2024-12-20,23.3,0.0
2024-12-21,23.5,0.0
2024-12-22,24.0,0.0
2024-12-23,23.8,0.0
2024-12-24,23.9,0.0
2024-12-25,24.0,0.0
2024-12-26,24.9,0.0
2024-12-27,24.7,0.0
2024-12-28,25.0,0.3
2024-12-29,25.7,0.0
2024-12-30,26.9,0.0
2024-12-31,27.2,0.0
2025-01-01,26.8,0.0
2025-01-02,26.7,0.0
2025-01-03,26.4,0.0
2025-01-04,25.3,0.0
2025-01-05,24.4,0.0
2025-01-06,23.9,0.0
2025-01-07,24.4,0.0
2025-01-08,25.1,0.0
2025-01-09,25.5,0.0
2025-01-10,25.2,0.0
2025-01-11,24.0,0.0
2025-01-12,24.4,0.0
2025-01-13,26.1,0.0
2025-01-14,26.2,0.0
2025-01-15,25.0,0.0
2025-01-16,24.5,0.0
2025-01-17,26.4,0.0
2025-01-18,27.2,0.0
2025-01-19,26.4,0.0
2025-01-20,26.4,0.0
2025-01-21,25.8,0.0
2025-01-22,25.6,0.0
2025-01-23,25.3,0.0
2025-01-24,25.8,0.0
2025-01-25,26.8,0.0
2025-01-26,27.0,0.0
2025-01-27,26.7,0.0
2025-01-28,25.4,0.0
2025-01-29,24.8,0.0
2025-01-30,25.4,0.0
2025-01-31,24.5,0.0
2025-02-01,23.8,0.0
2025-02-02,25.0,0.0
2025-02-03,24.7,0.0
2025-02-04,24.6,0.0
2025-02-05,25.0,0.0
2025-02-06,25.5,0.0
2025-02-07,27.2,0.0
2025-02-08,27.2,0.0
2025-02-09,27.5,0.0
2025-02-10,27.4,0.0
2025-02-11,26.2,0.0
2025-02-12,26.0,0.0
2025-02-13,27.5,0.0
2025-02-14,28.5,0.0
2025-02-15,28.7,0.0
2025-02-16,27.5,0.0
2025-02-17,27.1,0.0
2025-02-18,28.2,0.0
2025-02-19,28.0,0.0
2025-02-20,28.3,0.0
2025-02-21,30.0,0.0
2025-02-22,29.2,0.0
2025-02-23,29.6,0.0
2025-02-24,29.7,0.0
2025-02-25,29.8,0.0
2025-02-26,29.0,0.0
2025-02-27,29.2,0.0
2025-02-28,28.8,0.0
2025-03-01,29.0,0.0
2025-03-02,29.3,0.0
2025-03-03,29.5,0.0
2025-03-04,29.4,0.0
2025-03-05,29.6,0.0
2025-03-06,28.6,0.0
2025-03-07,29.4,0.0
2025-03-08,28.9,0.0
2025-03-09,28.5,0.0
2025-03-10,30.7,0.0
2025-03-11,30.5,0.0
2025-03-12,30.2,0.0
2025-03-13,29.4,0.0
2025-03-14,29.3,0.0
2025-03-15,29.3,0.0
2025-03-16,29.0,0.0
2025-03-17,28.7,0.0
2025-03-18,27.9,0.0
2025-03-19,27.6,0.0
2025-03-20,29.0,0.0
2025-03-21,28.0,0.0
2025-03-22,27.4,0.0
2025-03-23,28.4,0.0
2025-03-24,28.3,0.0
2025-03-25,28.6,0.0
2025-03-26,27.7,0.0
2025-03-27,27.1,0.0
2025-03-28,28.5,0.0
2025-03-29,30.9,0.0
2025-03-30,31.5,0.0
2025-03-31,31.2,0.0
2025-04-01,31.7,0.0
2025-04-02,31.8,0.0
2025-04-03,29.4,0.6
2025-04-04,29.2,1.0
2025-04-05,29.7,0.0
2025-04-06,30.0,0.0
2025-04-07,30.7,0.0
2025-04-08,31.1,0.0
2025-04-09,30.4,0.0
2025-04-10,29.4,0.0
2025-04-11,29.0,0.0
2025-04-12,28.8,0.1
2025-04-13,28.9,0.0
2025-04-14,30.1,0.0
2025-04-15,30.0,0.0
2025-04-16,29.1,0.0
2025-04-17,28.8,0.0
2025-04-18,28.9,0.0
2025-04-19,29.2,0.0
2025-04-20,29.2,0.0
2025-04-21,29.1,0.0
2025-04-22,29.8,0.0
2025-04-23,30.2,0.0
2025-04-24,29.7,0.0
2025-04-25,29.6,0.0
2025-04-26,29.4,0.0
2025-04-27,29.3,0.0
2025-04-28,29.3,0.0
2025-04-29,29.4,0.0
2025-04-30,29.6,0.0
2025-05-01,29.8,0.0
2025-05-02,30.0,0.0
2025-05-03,29.8,0.0
2025-05-04,30.0,0.0
2025-05-05,30.2,0.0
2025-05-06,28.7,6.3
2025-05-07,27.9,3.0
2025-05-08,26.6,9.3
2025-05-09,27.1,2.0
2025-05-10,28.0,0.5
2025-05-11,29.1,0.4
2025-05-12,30.3,1.6
2025-05-13,30.5,1.7
2025-05-14,29.9,0.6
2025-05-15,30.5,1.8
2025-05-16,31.0,1.0
2025-05-17,30.6,0.9
2025-05-18,31.2,0.0
2025-05-19,30.3,0.2
2025-05-20,30.2,8.7
2025-05-21,29.0,1.1
2025-05-22,28.5,21.2
2025-05-23,28.7,2.2
2025-05-24,28.8,8.9
2025-05-25,26.5,27.3
2025-05-26,26.2,54.0
2025-05-27,27.3,9.1
2025-05-28,26.9,11.5
2025-05-29,28.9,5.6
2025-05-30,29.6,1.8
2025-05-31,29.2,3.5
2025-06-01,27.3,11.1
2025-06-02,27.8,8.8
2025-06-03,27.4,12.8
2025-06-04,27.0,4.5
2025-06-05,27.8,1.6
2025-06-06,28.3,4.7
2025-06-07,27.7,8.1
2025-06-08,28.4,4.4
2025-06-09,29.0,2.0
2025-06-10,28.8,0.8
2025-06-11,29.7,0.8
2025-06-12,30.0,2.8
2025-06-13,28.3,29.6
2025-06-14,27.5,58.0
2025-06-15,26.7,55.5
2025-06-16,26.2,100.9
2025-06-17,27.5,17.5
2025-06-18,27.0,86.1
2025-06-19,26.4,65.8
2025-06-20,27.6,11.3
2025-06-21,27.6,10.0
2025-06-22,27.4,15.8
2025-06-23,26.8,51.2
2025-06-24,27.0,26.7
2025-06-25,28.1,10.0
2025-06-26,26.7,25.0
2025-06-27,27.2,13.9
2025-06-28,27.3,21.5
2025-06-29,27.3,18.1
2025-06-30,26.9,22.2
2025-07-01,26.8,34.3
2025-07-02,26.5,40.8
2025-07-03,26.4,26.3
2025-07-04,26.7,20.2
2025-07-05,26.6,37.9
2025-07-06,26.4,31.3
2025-07-07,27.0,7.6
2025-07-08,27.5,3.7
2025-07-09,26.7,15.4
2025-07-10,27.0,6.5
2025-07-11,26.7,6.1
2025-07-12,27.1,4.9
2025-07-13,26.7,14.7
2025-07-14,26.1,51.0
2025-07-15,26.5,15.8
2025-07-16,27.3,7.9
2025-07-17,27.4,4.1
2025-07-18,27.6,2.7
2025-07-19,27.0,6.3
2025-07-20,26.3,12.3
2025-07-21,26.4,17.7
2025-07-22,26.5,18.4
2025-07-23,26.3,18.6
2025-07-24,26.1,14.9
2025-07-25,26.3,40.3
2025-07-26,26.4,17.4
2025-07-27,26.8,10.5
2025-07-28,26.7,8.8
2025-07-29,26.5,8.6
2025-07-30,26.5,7.8
2025-07-31,26.8,3.9
2025-08-01,27.0,4.1
2025-08-02,26.5,8.7
2025-08-03,26.5,4.0
2025-08-04,26.9,3.5
2025-08-05,27.0,4.3
2025-08-06,27.2,1.2
2025-08-07,26.9,3.2
2025-08-08,26.8,2.9
2025-08-09,26.7,1.6
2025-08-10,26.5,3.2
2025-08-11,26.6,4.3
2025-08-12,26.6,5.0
2025-08-13,26.1,15.4
2025-08-14,25.9,38.9
2025-08-15,26.1,35.8
2025-08-16,25.4,34.2
2025-08-17,26.2,16.3
2025-08-18,25.4,127.0
2025-08-19,25.5,136.5
2025-08-20,25.6,61.5
2025-08-21,26.6,26.0
2025-08-22,26.9,4.5
2025-08-23,26.6,10.4
2025-08-24,26.7,6.7
2025-08-25,25.5,23.2
2025-08-26,26.4,14.9
2025-08-27,26.5,7.6
2025-08-28,26.5,16.3
2025-08-29,26.4,7.5
2025-08-30,26.5,2.8
2025-08-31,26.4,10.0
2025-09-01,26.4,6.7
2025-09-02,26.6,5.7
2025-09-03,26.8,4.8
2025-09-04,25.6,17.2
2025-09-05,25.9,18.2
2025-09-06,25.7,24.9
2025-09-07,26.2,9.2
2025-09-08,26.1,5.5
2025-09-09,26.4,0.7
2025-09-10,26.7,0.3
2025-09-11,26.6,1.5
2025-09-12,26.9,1.2
2025-09-13,26.5,12.7
2025-09-14,26.5,12.2
2025-09-15,25.9,65.5
2025-09-16,26.1,5.2
2025-09-17,26.3,25.7
2025-09-18,26.1,10.4
2025-09-19,26.1,8.2
2025-09-20,26.4,12.3
2025-09-21,26.2,15.7
2025-09-22,25.8,17.0
2025-09-23,26.3,10.7
2025-09-24,26.8,2.5
2025-09-25,26.2,3.1
2025-09-26,26.6,3.0
2025-09-27,26.2,14.1
2025-09-28,25.8,125.7
2025-09-29,26.5,15.8
2025-09-30,25.5,11.2
2025-10-01,25.7,12.0
2025-10-02,25.9,4.1
2025-10-03,26.5,2.4
2025-10-04,26.7,3.1
2025-10-05,26.3,0.7
2025-10-06,26.1,1.1
2025-10-07,26.1,2.1
2025-10-08,26.8,0.3
2025-10-09,27.7,0.0
2025-10-10,28.0,0.1
2025-10-11,28.5,0.1
2025-10-12,29.0,0.1
2025-10-13,29.2,0.0
2025-10-14,29.2,0.0
2025-10-15,29.2,1.5
2025-10-16,29.5,6.2
2025-10-17,30.6,0.1
2025-10-18,30.5,1.1
2025-10-19,30.3,0.5
2025-10-20,30.2,0.2
2025-10-21,29.6,5.9
2025-10-22,29.2,4.8
2025-10-23,29.9,6.1
2025-10-24,29.5,8.7
2025-10-25,27.1,13.8
2025-10-26,25.2,34.3
2025-10-27,26.0,13.3
2025-10-28,27.5,0.4
2025-10-29,27.4,0.1
2025-10-30,26.4,11.5
2025-10-31,26.6,8.6
2025-11-01,26.5,3.1
2025-11-02,26.2,4.2
2025-11-03,26.1,2.5
2025-11-04,25.8,1.6
2025-11-05,25.7,0.1
2025-11-06,25.7,0.6
2025-11-07,26.7,0.0
2025-11-08,27.2,0.0
2025-11-09,26.0,0.0
2025-11-10,26.1,0.0
2025-11-11,26.4,0.0
2025-11-12,26.9,0.0
2025-11-13,27.2,0.0
2025-11-14,26.8,0.0
2025-11-15,26.4,0.0
2025-11-16,26.3,0.0
2025-11-17,25.8,0.0
2025-11-18,25.2,0.0
2025-11-19,25.5,0.0
2025-11-20,25.9,0.0
2025-11-21,26.2,0.0
2025-11-22,27.2,0.0
2025-11-23,27.5,0.0
2025-11-24,27.5,0.0
2025-11-25,27.5,0.0
2025-11-26,27.6,0.0
2025-11-27,27.6,0.0
2025-11-28,27.2,0.0
2025-11-29,27.2,0.0
2025-11-30,25.4,0.0
2025-12-01,25.3,0.0
2025-12-02,25.4,0.0
2025-12-03,26.1,0.0
2025-12-04,27.2,0.0
2025-12-05,28.0,0.0
2025-12-06,27.3,0.0
2025-12-07,26.7,0.0
2025-12-08,26.4,0.0
2025-12-09,26.5,0.0
2025-12-10,26.2,0.0
2025-12-11,25.6,0.0
2025-12-12,24.8,0.0
2025-12-13,25.1,0.0
2025-12-14,25.5,0.0
2025-12-15,25.7,0.0
2025-12-16,25.5,0.0
2025-12-17,26.1,0.0
2025-12-18,25.9,0.0
2025-12-19,25.2,0.0
2025-12-20,24.9,0.0
2025-12-21,24.9,0.0
2025-12-22,24.5,0.0
2025-12-23,25.2,0.0
2025-12-24,25.2,0.0
2025-12-25,24.7,0.0
2025-12-26,24.7,0.0
2025-12-27,25.0,0.0
2025-12-28,24.9,0.0
2025-12-29,24.6,0.0
2025-12-30,23.5,0.0
2025-12-31,23.2,0.0
2026-01-01,23.5,0.9
2026-01-02,23.8,0.0
2026-01-03,24.5,0.0
2026-01-04,25.4,0.0
2026-01-05,25.8,0.0
2026-01-06,25.5,0.0
2026-01-07,24.7,0.0
2026-01-08,24.1,0.0
2026-01-09,23.8,0.0
2026-01-10,23.6,0.0
2026-01-11,24.3,0.0
2026-01-12,25.3,0.0
2026-01-13,26.4,0.0
2026-01-14,25.9,0.0
2026-01-15,24.1,0.0
2026-01-16,24.0,0.0
2026-01-17,23.6,0.0
2026-01-18,22.8,0.0
2026-01-19,22.6,0.0
2026-01-20,22.9,0.0
2026-01-21,24.6,0.0
2026-01-22,24.7,0.0
2026-01-23,23.7,0.0
2026-01-24,23.2,0.0
2026-01-25,23.7,0.0
2026-01-26,24.8,0.0
2026-01-27,23.9,0.4
2026-01-28,23.8,0.0
2026-01-29,25.1,0.0
2026-01-30,26.0,0.0
2026-01-31,25.0,0.0
2026-02-01,25.5,0.0
2026-02-02,26.4,0.0
2026-02-03,26.2,0.0
2026-02-04,26.8,0.0
2026-02-05,27.3,0.0
2026-02-06,27.2,0.0
2026-02-07,26.9,0.0
2026-02-08,27.2,0.0
2026-02-09,26.0,0.0
2026-02-10,25.7,0.0
2026-02-11,26.8,0.0
2026-02-12,26.8,0.0
2026-02-13,26.6,0.0
2026-02-14,27.3,0.0
2026-02-15,28.0,0.0
2026-02-16,26.7,0.0
2026-02-17,25.7,0.0
2026-02-18,24.7,0.0
2026-02-19,25.3,0.0
2026-02-20,27.0,0.0
2026-02-21,28.8,0.0
2026-02-22,27.9,0.0
2026-02-23,27.9,0.0
2026-02-24,27.3,0.0
2026-02-25,26.9,0.0
2026-02-26,25.4,0.0
2026-02-27,25.3,0.0
2026-02-28,25.6,0.0
2026-03-01,25.5,0.0
2026-03-02,25.8,0.0
2026-03-03,28.3,0.0
2026-03-04,31.0,0.0
2026-03-05,31.0,0.0
2026-03-06,28.7,0.0
2026-03-07,27.3,0.0
2026-03-08,29.4,0.0
2026-03-09,31.4,0.0
2026-03-10,31.8,0.0
2026-03-11,28.7,0.0
2026-03-12,28.6,0.0
2026-03-13,30.5,0.0
2026-03-14,28.9,0.0
2026-03-15,27.4,0.0
2026-03-16,27.1,0.0
2026-03-17,26.9,0.0
2026-03-18,26.8,0.0
2026-03-19,26.8,0.0
2026-03-20,26.8,0.0
2026-03-21,28.0,0.0
2026-03-22,29.5,0.0
